,input_tokens,output_tokens,latency
0,125.0,0.275,0.8112124919891357
1,493.0,0.75,0.801791000366211
2,859.0,1.225,1.0995567798614503
3,1232.0,0.75,1.2054469585418701
4,1598.0,0.25,1.567432165145874
5,1963.0,0.4,1.6807152509689331
6,2337.0,0.75,2.128659415245056
7,2699.0,0.975,2.1826838493347167
8,3066.0,0.75,2.272910785675049
9,3441.0,0.5,2.6213290691375732
10,3824.0,0.25,2.7318650245666505
